"Âge","taille_commune","rev_mens_net","dist_centreco","source_rev","dip_sup_brev","niv_dipl","depenses_mens","pref_emplettes","paylignmonth","restpermonth","binarachalist","priplafcompul","binarpayelec","elecpaytype","paiem_elec_mois","nbapppayelec","montantpertransac","plaisirpermonth","revenus","Sexe","achat_hors_liste","utilisateur_elec","diplom","niv_dip","payelecpermonth","CB","pay_mob","QR","E_wallet","taille_ville","taille_ville2"
21,"Ville moyenne (entre 20 000 et 49 999 habitants)","Entre 1001 et 1500€",5,"Revenus du travail","Oui","Diplôme de niveau 6 (BAC+3/4)",400,"En ligne et en physique",4,"3","Non",100,1,"Carte Bancaire, sans contact, E-wallet (cagnottes type PayPal, néobanques, …)",12,2,15,100,1052,1,0,1,1,4,"Entre 1 et 15",1,0,0,1,35000,35
20,"Ville moyenne (entre 20 000 et 49 999 habitants)","Entre 0 et 500€",1,"Revenus du travail","Oui","Diplôme de niveau 6 (BAC+3/4)",300,"En physique, dans un magasin",2,"3","Non",7,0,NA,0,0,20,70,489,1,0,0,1,4,"0",0,0,0,0,35000,35
47,"Ville moyenne (entre 20 000 et 49 999 habitants)","Plus de 1500€",5,"Revenus du travail","Oui","Diplôme de niveau 4 (Baccalauréat)",2500,"En physique, dans un magasin",3,"2","Non",40,0,NA,0,0,100,50,2106,1,0,0,1,2,"0",0,0,0,0,35000,35
21,"Petite ville (entre 5 000 et 19 999 habitants)","Entre 0 et 500€",25,"Revenus de redistribution (bourses, allocations, …)","Oui","Diplôme de niveau 6 (BAC+3/4)",200,"En physique, dans un magasin",1,"14","Oui",10,1,"Carte Bancaire, sans contact",18,1,10,100,227,0,1,1,1,4,"Entre 16 et 30",1,0,0,0,12500,12.5
21,"Grande ville (entre 50 000 et 199 999 habitants)","Entre 1001 et 1500€",6,"Revenus du travail","Oui","Diplôme de niveau 6 (BAC+3/4)",400,"En ligne et en physique",2,"15","Oui",30,0,NA,0,0,20,237,1011,0,1,0,1,4,"0",0,0,0,0,1500000,1500
24,"Commune de moins de 5000 habitants","Entre 1001 et 1500€",6,"Revenus du travail","Oui","Diplôme de niveau 5 (BAC+2)",100,"En ligne et en physique",4,"20","Non",60,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …)",35,2,30,200,1325,1,0,1,1,3,"Entre 31 et 45",1,1,0,0,2500,2.5
47,"Ville moyenne (entre 20 000 et 49 999 habitants)","Plus de 1500€",5,"Revenus du travail","Oui","Diplôme de niveau 4 (Baccalauréat)",1250,"En physique, dans un magasin",2,"2","Non",50,1,"Carte Bancaire, sans contact",22,1,70,50,1596,1,0,1,1,2,"Entre 16 et 30",1,0,0,0,35000,35
22,"Ville moyenne (entre 20 000 et 49 999 habitants)","Entre 501 et 1000€",15,"Revenus du travail","Oui","Diplôme de niveau 5 (BAC+2)",700,"En ligne et en physique",5,"10","Non",75,1,"Carte Bancaire, sans contact",20,2,20,400,636,0,0,1,1,3,"Entre 16 et 30",1,0,0,0,35000,35
26,"Très grande ville (+ de 200 000 habitants)","Plus de 1500€",20,"Revenus du travail","Oui","Diplôme de niveau 7 (BAC+5)",2300,"En physique, dans un magasin",3,"10","Non",150,1,"Carte Bancaire, sans contact",41,3,25,35,1609,0,0,1,1,5,"Entre 31 et 45",1,0,0,0,1500000,1500
22,"Petite ville (entre 5 000 et 19 999 habitants)","Entre 501 et 1000€",20,"Revenus du travail","Oui","Diplôme de niveau 6 (BAC+3/4)",200,"En ligne et en physique",3,"3","Oui",50,1,"Carte Bancaire, sans contact",10,1,10,1,647,0,1,1,1,4,"Entre 1 et 15",1,0,0,0,12500,12.5
18,"Commune de moins de 5000 habitants","Entre 0 et 500€",30,"Je n’ai pas de revenu fixe","Oui","Diplôme de niveau 4 (Baccalauréat)",200,"En ligne et en physique",3,"1","Oui",100,0,NA,0,0,50,100,463,1,1,0,1,2,"0",0,0,0,0,2500,2.5
27,"Très grande ville (+ de 200 000 habitants)","Plus de 1500€",5,"Revenus du travail","Oui","Diplôme de niveau 7 (BAC+5)",1500,"En ligne et en physique",5,"8","Non",50,1,"Carte Bancaire, sans contact, Paiement Mobile (ApplePay, GooglePay, …), E-wallet (cagnottes type PayPal, néobanques, …)",46,3,20,400,2219,1,0,1,1,5,"45 et +",1,1,0,1,1500000,1500
